t_mono_ns,power_W,src,valid
2679525505546659,3.037796,batt,1
2679525605558810,3.037796,batt,1
2679525711752488,3.534999,batt,1
2679525812823148,3.534999,batt,1
2679525905700937,3.534999,batt,1
2679526005542573,3.185670,batt,1
2679526105686490,3.185670,batt,1
2679526210741141,3.339348,batt,1
2679526305546735,3.339348,batt,1
2679526405918510,3.339348,batt,1
2679526505726345,3.289619,batt,1
2679526606138171,3.289619,batt,1
2679526705568673,3.403725,batt,1
2679526805631135,3.403725,batt,1
2679526905581205,3.403725,batt,1
2679527005613459,3.238874,batt,1
2679527105612434,3.238874,batt,1
2679527205668333,3.262315,batt,1
2679527305681005,3.262315,batt,1
2679527405570452,3.262315,batt,1
2679527505585259,3.150280,batt,1
2679527605776311,3.150280,batt,1
2679527705794034,3.239030,batt,1
2679527805799571,3.239030,batt,1
2679527905777088,3.239030,batt,1
2679528005546642,3.348154,batt,1
2679528105552543,3.348154,batt,1
2679528205574434,3.260612,batt,1
2679528305511483,3.260612,batt,1
2679528405543789,3.260612,batt,1
2679528505639792,2.927793,batt,1
2679528605618715,2.927793,batt,1
2679528705770028,3.126650,batt,1
2679528805541145,3.126650,batt,1
2679528905670792,3.126650,batt,1
2679529005557687,3.353843,batt,1
2679529105515204,3.353843,batt,1
2679529205519074,3.214154,batt,1
2679529305682366,3.214154,batt,1
2679529405564313,3.214154,batt,1
2679529505573183,3.031779,batt,1
2679529605693091,3.031779,batt,1
2679529705688368,3.039677,batt,1
2679529805809994,3.039677,batt,1
2679529905537727,3.039677,batt,1
2679530005603626,3.339193,batt,1
2679530105512395,3.339193,batt,1
2679530205538921,3.255697,batt,1
2679530305612008,3.255697,batt,1
2679530405562546,3.255697,batt,1
2679530505546677,3.178414,batt,1
2679530605668408,3.178414,batt,1
2679530705614363,3.110175,batt,1
2679530805527715,3.110175,batt,1
2679530905540804,3.110175,batt,1
2679531005645139,3.665431,batt,1
2679531105563179,3.665431,batt,1
2679531205675483,3.216969,batt,1
2679531305736903,3.216969,batt,1
2679531405594580,3.216969,batt,1
2679531505600116,3.241964,batt,1
2679531605543936,3.241964,batt,1
2679531705708999,3.370957,batt,1
2679531805612976,3.370957,batt,1
2679531905540599,3.370957,batt,1
2679532005552698,3.121839,batt,1
2679532105664273,3.121839,batt,1
2679532205542365,3.284495,batt,1
2679532305553423,3.284495,batt,1
2679532405753328,3.337532,batt,1
2679532505712668,3.340426,batt,1
2679532605700654,3.340426,batt,1
2679532705630672,nan,none,0
2679534748624342,1.245618,batt,1
2679535222646636,1.245618,batt,1
2679535327844147,1.245618,batt,1
2679535332827012,1.245618,batt,1
