t_mono_ns,power_mW,src,valid
9266159770992,1380.901,batt,1
9266209788463,1380.901,batt,1
9266259775623,1380.901,batt,1
9266309814291,1611.692,batt,1
9266359831189,1611.692,batt,1
9266409856889,1611.692,batt,1
9266459886287,1611.692,batt,1
9266509838083,1611.692,batt,1
9266559828368,1941.070,batt,1
9266609800528,1941.070,batt,1
9266659796333,1941.070,batt,1
9266709793127,1941.070,batt,1
9266759868305,1941.070,batt,1
9266809805883,1216.320,batt,1
9266859787470,1216.320,batt,1
9266909786972,1216.320,batt,1
9266959790590,1216.320,batt,1
9267009812436,1216.320,batt,1
9267059786627,1225.046,batt,1
9267109785661,1225.046,batt,1
9267159800841,1225.046,batt,1
9267210047316,1225.046,batt,1
9267259792347,1225.046,batt,1
9267309783881,1235.740,batt,1
9267359785467,1235.740,batt,1
9267409786585,1235.740,batt,1
9267459816035,1235.740,batt,1
9267509794965,1235.740,batt,1
9267560118365,1227.428,batt,1
9267609798919,1227.428,batt,1
9267659791599,1227.428,batt,1
9267709794123,1227.428,batt,1
9267759789199,1227.428,batt,1
9267809784587,1267.917,batt,1
9267859785548,1267.917,batt,1
9267910086240,1267.917,batt,1
9267959797991,1267.917,batt,1
9268009813483,1267.917,batt,1
9268059802986,1204.283,batt,1
9268109802125,1204.283,batt,1
9268159900166,1204.283,batt,1
9268210406426,1204.283,batt,1
9268259763082,1204.283,batt,1
9268309813209,1058.064,batt,1
9268359787504,1058.064,batt,1
9268409790965,1058.064,batt,1
9268459792864,1058.064,batt,1
9268509815491,1058.064,batt,1
9268559786245,677.240,batt,1
9268609829965,677.240,batt,1
9268659794886,677.240,batt,1
9268709789597,677.240,batt,1
9268759795506,677.240,batt,1
9268809790634,720.011,batt,1
9268859807532,720.011,batt,1
9268909806202,720.011,batt,1
9268959791799,720.011,batt,1
9269009848384,720.011,batt,1
9269059791951,620.994,batt,1
9269109793693,620.994,batt,1
9269159790696,620.994,batt,1
9269209792230,620.994,batt,1
9269259793504,620.994,batt,1
9269309835245,653.967,batt,1
9269359790739,653.967,batt,1
9269409828053,653.967,batt,1
9269459796203,653.967,batt,1
