t_mono_ns,power_mW,src,valid
276994973565824,1418.060,batt,1
276995023565044,1418.060,batt,1
276995073564525,1418.060,batt,1
276995123565932,1418.060,batt,1
276995173568902,1418.060,batt,1
276995223567810,488.393,batt,1
276995273567707,488.393,batt,1
276995323566615,488.393,batt,1
276995373569168,488.393,batt,1
276995423567972,488.393,batt,1
276995473565942,599.604,batt,1
276995523567037,599.604,batt,1
276995573567819,599.604,batt,1
276995623567508,599.604,batt,1
276995673567405,599.604,batt,1
276995723567719,473.824,batt,1
276995773567095,473.824,batt,1
276995823567461,473.824,batt,1
276995873568296,473.824,batt,1
276995923567985,473.824,batt,1
276995973566528,468.951,batt,1
276996023568039,468.951,batt,1
276996073567155,468.951,batt,1
276996123568511,468.951,batt,1
276996173565075,468.951,batt,1
276996223568045,570.273,batt,1
276996273565859,570.273,batt,1
276996323567110,570.273,batt,1
276996373567372,570.273,batt,1
276996423566956,570.273,batt,1
276996473567374,461.643,batt,1
276996523567011,461.643,batt,1
276996573567950,461.643,batt,1
276996623566962,461.643,batt,1
276996673566234,461.643,batt,1
276996723565402,1402.561,batt,1
276996773565143,1402.561,batt,1
276996823568425,1402.561,batt,1
276996873566031,1402.561,batt,1
276996923567334,1056.443,batt,1
276996973566137,1056.443,batt,1
276997023568795,1056.443,batt,1
276997073568848,1056.443,batt,1
276997123566871,1056.443,batt,1
276997173567913,473.778,batt,1
276997223566509,473.778,batt,1
276997273567291,473.778,batt,1
276997323567553,473.778,batt,1
276997373567815,473.778,batt,1
276997423568024,462.815,batt,1
276997473566255,462.815,batt,1
276997523568964,462.815,batt,1
276997573567716,462.815,batt,1
276997623566571,462.815,batt,1
276997673565427,412.720,batt,1
276997723566053,412.720,batt,1
276997773566992,412.720,batt,1
276997823566941,412.720,batt,1
276997873567099,412.720,batt,1
276997923567673,405.491,batt,1
276997973567882,405.491,batt,1
276998023568717,405.491,batt,1
276998073566427,405.491,batt,1
276998123568459,405.491,batt,1
276998173566429,396.929,batt,1
276998223567056,396.929,batt,1
276998273568515,396.929,batt,1
276998323568100,396.929,batt,1
276998373566799,396.929,batt,1
276998423565655,402.978,batt,1
276998473566385,402.978,batt,1
276998523567897,402.978,batt,1
276998573567638,402.978,batt,1
276998623566441,402.978,batt,1
276998673566807,461.598,batt,1
276998723568215,461.598,batt,1
276998773566029,461.598,batt,1
276998823568321,461.598,batt,1
276998873566135,461.598,batt,1
276998923565199,1683.893,batt,1
276998973567023,1683.893,batt,1
276999023567962,1683.893,batt,1
276999073567078,1683.893,batt,1
276999123566298,1683.893,batt,1
276999173568122,1857.288,batt,1
276999223567863,1857.288,batt,1
276999273568021,1857.288,batt,1
276999323568126,1857.288,batt,1
276999373569378,1857.288,batt,1
276999423568181,2149.125,batt,1
276999473566151,2149.125,batt,1
276999523567194,2149.125,batt,1
276999573565998,2149.125,batt,1
276999623564957,2149.125,batt,1
276999673565740,5169.563,batt,1
276999723565012,5169.563,batt,1
276999773565065,5169.563,batt,1
276999823567410,5169.563,batt,1
276999873565328,5169.563,batt,1
276999923565226,5424.819,batt,1
276999973565019,5424.819,batt,1
277000023564759,5424.819,batt,1
277000073565073,5424.819,batt,1
277000123564866,5424.819,batt,1
277000173566274,5303.152,batt,1
277000223567785,5303.152,batt,1
277000273565026,5303.152,batt,1
277000323564976,5303.152,batt,1
277000373564560,5303.152,batt,1
277000423565239,5793.753,batt,1
277000473570292,5793.753,batt,1
277000523566648,5793.753,batt,1
277000573569149,5793.753,batt,1
277000623565348,5793.753,batt,1
277000673564360,6205.481,batt,1
277000723564622,6205.481,batt,1
277000773565612,6205.481,batt,1
277000823568895,6205.481,batt,1
277000873566292,6205.481,batt,1
277000923565252,5862.443,batt,1
277000973564576,5862.443,batt,1
277001023565359,5862.443,batt,1
277001073567339,5862.443,batt,1
277001123565049,5862.443,batt,1
277001173564946,6413.276,batt,1
277001223565103,6413.276,batt,1
277001273565001,6413.276,batt,1
277001323564898,6413.276,batt,1
277001373567607,6413.276,batt,1
277001423565213,5772.348,batt,1
277001473564589,5772.348,batt,1
277001523564643,5772.348,batt,1
277001573565113,5772.348,batt,1
277001623564437,5772.348,batt,1
277001673565219,5937.786,batt,1
277001723566210,5937.786,batt,1
277001773570170,5937.786,batt,1
277001823565380,5937.786,batt,1
277001873568975,5937.786,batt,1
277001923564601,5057.126,batt,1
277001973565644,5057.126,batt,1
277002023565489,5057.126,batt,1
277002073568876,5057.126,batt,1
277002124179744,5057.126,batt,1
277002173568670,5913.498,batt,1
277002223565442,5913.498,batt,1
277002273565444,5913.498,batt,1
277002323565914,5913.498,batt,1
277002373564509,5913.498,batt,1
277002423567895,5741.799,batt,1
277002473569563,5741.799,batt,1
277002523565763,5741.799,batt,1
277002573565191,5741.799,batt,1
277002623564463,5741.799,batt,1
277002673565037,5968.708,batt,1
277002723564883,5968.708,batt,1
277002773566290,5968.708,batt,1
277002823566187,5968.708,batt,1
277002873564574,5968.708,batt,1
277002923567075,6542.750,batt,1
277002973569212,6542.750,batt,1
277003023564734,6542.750,batt,1
277003073567600,6542.750,batt,1
