t_mono_ns,power_mW,src,valid
7519322329457,1691.644,batt,1
7519372359342,1691.644,batt,1
7519422358030,1691.644,batt,1
7519472368020,1691.644,batt,1
7519522409310,1691.644,batt,1
7519572390290,1594.325,batt,1
7519622326740,1594.325,batt,1
7519672313918,1594.325,batt,1
7519722316668,1594.325,batt,1
7519772314262,1594.325,batt,1
7519822443520,984.410,batt,1
7519872352054,984.410,batt,1
7519922730054,984.410,batt,1
7519972702284,984.410,batt,1
7520022351971,984.410,batt,1
7520072356961,1280.257,batt,1
7520122345649,1280.257,batt,1
7520172375899,1280.257,batt,1
7520222333390,1280.257,batt,1
7520272359264,1280.257,batt,1
7520322625080,1410.914,batt,1
7520372347057,1410.914,batt,1
7520422347255,1410.914,batt,1
7520472348964,1410.914,batt,1
7520522364370,1410.914,batt,1
7520572348370,634.574,batt,1
7520622347840,634.574,batt,1
7520672350225,634.574,batt,1
7520722343705,634.574,batt,1
7520772350257,634.574,batt,1
7520822350455,617.374,batt,1
7520872362424,617.374,batt,1
7520922344810,617.374,batt,1
7520972403913,617.374,batt,1
7521022347602,617.374,batt,1
7521072379675,628.422,batt,1
7521122378258,628.422,batt,1
7521172362363,628.422,batt,1
7521222384019,628.422,batt,1
7521272343229,628.422,batt,1
7521322354937,659.032,batt,1
7521372361125,659.032,batt,1
7521422349448,659.032,batt,1
7521472349751,659.032,batt,1
7521522350105,659.032,batt,1
7521572362282,590.469,batt,1
7521622346648,590.469,batt,1
7521672381272,590.469,batt,1
7521722379387,590.469,batt,1
7521772379585,590.469,batt,1
7521822351138,604.008,batt,1
7521872381596,604.008,batt,1
7521922378305,604.008,batt,1
7521972356004,604.008,batt,1
7522022348702,604.008,batt,1
7522072368796,601.512,batt,1
7522122360921,601.512,batt,1
7522172377838,601.512,batt,1
7522222344235,601.512,batt,1
7522272364693,545.501,batt,1
7522322352652,545.448,batt,1
7522372374776,545.448,batt,1
7522422363881,545.448,batt,1
7522472382308,545.448,batt,1
7522522378131,2214.566,batt,1
7522572371871,2214.566,batt,1
7522622385819,2214.566,batt,1
7522672344508,2214.566,batt,1
7522722407830,2214.566,batt,1
7522772380789,2696.077,batt,1
7522822426819,2696.077,batt,1
7522872440611,2696.077,batt,1
7522922357166,2696.077,batt,1
7522972381426,2696.077,batt,1
7523022519641,3280.162,batt,1
7523081302663,3280.162,batt,1
7523122397957,3280.162,batt,1
7523172513100,3280.162,batt,1
7523222729178,3280.162,batt,1
7523272428343,5817.468,batt,1
7523322414375,5817.468,batt,1
7523372290254,5817.468,batt,1
7523422391803,5817.468,batt,1
7523472401480,5817.468,batt,1
7523522525737,4813.425,batt,1
7523572673431,4813.425,batt,1
7523622379784,4813.425,batt,1
7523672381909,4813.425,batt,1
7523722526426,4813.425,batt,1
7523772547770,6184.218,batt,1
7523822369535,6184.218,batt,1
7523872575457,6184.218,batt,1
7523922413993,6184.218,batt,1
7523972410389,6184.218,batt,1
7524022450951,6408.342,batt,1
7524072610155,6408.342,batt,1
7524122371558,6408.342,batt,1
7524172432744,6408.342,batt,1
7524222371850,6408.342,batt,1
7524272400485,3079.844,batt,1
7524322514013,3079.844,batt,1
7524372533378,3079.844,batt,1
7524422408007,3079.844,batt,1
7524472485703,3079.844,batt,1
7524522383768,6702.081,batt,1
7524572512557,6702.081,batt,1
7524622442809,6702.081,batt,1
7524672382071,6702.081,batt,1
7524722563462,6702.081,batt,1
7524772580952,6484.793,batt,1
7524822415477,6484.793,batt,1
7524872458018,6484.793,batt,1
7524922471497,6484.793,batt,1
7524972591900,6484.793,batt,1
7525022460436,5430.541,batt,1
7525072408344,5430.541,batt,1
7525122468592,5430.541,batt,1
7525181674363,5430.541,batt,1
7525222401387,5430.541,batt,1
7525272432678,5378.062,batt,1
7525322558758,5378.062,batt,1
7525372437084,5378.062,batt,1
7525422419887,5378.062,batt,1
7525472372639,5378.062,batt,1
7525522548978,4351.121,batt,1
7525572465793,4351.121,batt,1
7525622430732,4351.121,batt,1
7525672400931,4351.121,batt,1
7525722475919,4351.121,batt,1
7525772423670,5670.667,batt,1
7525822375276,5670.667,batt,1
7525872401255,5670.667,batt,1
7525922393328,5670.667,batt,1
7525972441025,5670.667,batt,1
7526022508878,4783.617,batt,1
7526072503555,4783.617,batt,1
7526122445318,4783.617,batt,1
7526172448276,4783.617,batt,1
7526222649198,4783.617,batt,1
7526272400028,5933.709,batt,1
7526322386008,5933.709,batt,1
7526372491308,5933.709,batt,1
7526422460413,5933.709,batt,1
7526472594774,5933.709,batt,1
7526522644242,5913.214,batt,1
7526572471007,5913.214,batt,1
7526622362511,5913.214,batt,1
7526672522079,5913.214,batt,1
7526722434676,5913.214,batt,1
7526772434093,4869.547,batt,1
7526822416792,4869.547,batt,1
7526872545424,4869.547,batt,1
7526922484738,4869.547,batt,1
7526972417855,4869.547,batt,1
7527022399877,4782.659,batt,1
7527072374971,4782.659,batt,1
7527122321421,4782.659,batt,1
7527172432866,4782.659,batt,1
7527222405409,4782.659,batt,1
7527280472045,5358.237,batt,1
7527322480387,5358.237,batt,1
7527372405379,5358.237,batt,1
7527422402764,5358.237,batt,1
7527472502699,5358.237,batt,1
7527522487638,5078.262,batt,1
7527572422733,5078.262,batt,1
7527622537251,5078.262,batt,1
7527672535887,5078.262,batt,1
7527722476399,5078.262,batt,1
7527772434568,5308.098,batt,1
7527822461900,5308.098,batt,1
7527872424756,5308.098,batt,1
7527922646615,5308.098,batt,1
7527972380206,5308.098,batt,1
7528022452277,5389.033,batt,1
7528072486120,5389.033,batt,1
7528122634075,5389.033,batt,1
7528172433914,5389.033,batt,1
7528222461455,5389.033,batt,1
7528272429675,5035.084,batt,1
7528324762984,5035.084,batt,1
7528372416843,5035.084,batt,1
7528422448707,5035.084,batt,1
7528472397448,5035.084,batt,1
7528522681648,5344.196,batt,1
7528572465759,5344.196,batt,1
7528622459343,5344.196,batt,1
7528672482978,5344.196,batt,1
7528722414480,5344.196,batt,1
7528772363482,4562.175,batt,1
7528822388627,4562.175,batt,1
7528872401221,4562.175,batt,1
7528922462980,4562.175,batt,1
7528972432033,3723.876,batt,1
7529022384681,3723.876,batt,1
7529072418732,3723.876,batt,1
7529122361380,3723.876,batt,1
7529172376994,3723.876,batt,1
7529222393911,3695.637,batt,1
7529272397911,3695.637,batt,1
7529322440608,3695.637,batt,1
7529372344142,3695.637,batt,1
7529422478035,3695.637,batt,1
7529472425839,3507.192,batt,1
7529522460515,3507.192,batt,1
7529572454307,3507.192,batt,1
7529622371643,3507.192,batt,1
7529672411996,3507.192,batt,1
7529722407455,3241.496,batt,1
7529772376560,3241.496,batt,1
7529822512536,3241.496,batt,1
7529872407164,3241.496,batt,1
7529922410592,3241.496,batt,1
7529972467820,3854.204,batt,1
7530022424217,3854.204,batt,1
7530072453737,3854.204,batt,1
7530122387010,3854.204,batt,1
7530172383250,3854.204,batt,1
7530222354543,3824.219,batt,1
7530272428541,3824.219,batt,1
7530322446343,3824.219,batt,1
7530372441177,3824.219,batt,1
7530422438719,3824.219,batt,1
7530472394335,3702.664,batt,1
7530522447396,3702.664,batt,1
7530572397440,3702.664,batt,1
7530622529718,3702.664,batt,1
7530672372733,3702.664,batt,1
7530722357931,3364.526,batt,1
7530772442033,3364.526,batt,1
7530822381660,3364.526,batt,1
7530872425191,3364.526,batt,1
7530922458148,3364.526,batt,1
7530972374443,3837.926,batt,1
7531022379380,3837.926,batt,1
7531072396141,3837.926,batt,1
7531122394985,3837.926,batt,1
7531172460442,3837.926,batt,1
7531222424703,3496.017,batt,1
7531272445838,3496.017,batt,1
7531322381351,3496.017,batt,1
7531372403580,3496.017,batt,1
7531422573304,3496.017,batt,1
7531472360488,3594.765,batt,1
7531522358030,3594.765,batt,1
7531572441090,3594.765,batt,1
7531622404467,3594.765,batt,1
7531672366958,3594.765,batt,1
7531722420123,3999.844,batt,1
7531772394332,3999.844,batt,1
7531822427498,3999.844,batt,1
7531872433790,3999.844,batt,1
7531922453571,3999.844,batt,1
7531972399396,3698.986,batt,1
7532022406521,3698.986,batt,1
7532072339950,3698.986,batt,1
7532122433063,3698.986,batt,1
7532172482947,3698.986,batt,1
7532222430907,3748.641,batt,1
7532272441470,3748.641,batt,1
7532322403804,3748.641,batt,1
7532372412856,3748.641,batt,1
7532422438054,3748.641,batt,1
7532472345859,3590.709,batt,1
7532522444596,3590.709,batt,1
7532572432815,3590.709,batt,1
7532622355724,3590.709,batt,1
7532672392432,3590.709,batt,1
7532722377891,3341.659,batt,1
7532772376058,3341.659,batt,1
7532822408547,3341.659,batt,1
7532872446661,3341.659,batt,1
7532922406704,3341.659,batt,1
7532972426797,3858.281,batt,1
7533022449026,3858.281,batt,1
7533072384330,3858.281,batt,1
7533122398903,3858.281,batt,1
7533172428059,3858.281,batt,1
7533222386852,3864.834,batt,1
7533272423143,3864.834,batt,1
7533322456465,3864.834,batt,1
7533372389061,3864.834,batt,1
7533422621388,3864.834,batt,1
7533472374406,3582.977,batt,1
7533522427363,3582.977,batt,1
7533572368709,3582.977,batt,1
7533622427447,3582.977,batt,1
7533672447124,3582.977,batt,1
7533722430656,3792.457,batt,1
7533772421271,3792.457,batt,1
7533822395011,3792.457,batt,1
7533872396147,3792.457,batt,1
7533922461552,3792.457,batt,1
7533972409772,3514.831,batt,1
7534022402835,3514.831,batt,1
7534072402773,3514.831,batt,1
7534122450262,3514.831,batt,1
7534172377285,3514.831,batt,1
7534222447481,3516.967,batt,1
7534272410128,3516.967,batt,1
7534322447461,3516.967,batt,1
7534372406723,3516.967,batt,1
7534422465721,3516.967,batt,1
7534472433264,3760.771,batt,1
7534522413359,3760.771,batt,1
7534572396318,3760.771,batt,1
7534622347455,3760.771,batt,1
7534672435724,3760.771,batt,1
7534722458942,3420.662,batt,1
7534772413881,3420.662,batt,1
7534822589439,3420.662,batt,1
7534872357352,3420.662,batt,1
7534922384477,3420.662,batt,1
7534972420820,3385.934,batt,1
7535022387946,3385.934,batt,1
7535072450122,3385.934,batt,1
7535122405738,3385.934,batt,1
7535172405103,3385.934,batt,1
7535222383895,3482.994,batt,1
7535272493413,3482.994,batt,1
7535322449029,3482.994,batt,1
7535372454852,3482.994,batt,1
7535422423906,3590.672,batt,1
7535472456395,3590.672,batt,1
7535522421542,3590.672,batt,1
7535572450020,3590.672,batt,1
7535622407876,3590.672,batt,1
7535672406981,3815.150,batt,1
7535722427647,3815.150,batt,1
7535772405867,3815.150,batt,1
7535822386326,3815.150,batt,1
7535872411732,3815.150,batt,1
7535922405524,3256.599,batt,1
7535972402545,3256.599,batt,1
7536022439930,3256.599,batt,1
7536072456013,3256.599,batt,1
7536122343662,3256.599,batt,1
7536172381255,3220.675,batt,1
7536222407755,3220.675,batt,1
7536272526856,3220.675,batt,1
7536322396485,3220.675,batt,1
7536372425276,3220.675,batt,1
7536422377351,3665.079,batt,1
7536472447026,3665.079,batt,1
7536522424204,3665.079,batt,1
7536572439975,3665.079,batt,1
7536622392830,3665.079,batt,1
7536672392664,3406.909,batt,1
7536722397706,3406.909,batt,1
7536772383165,3406.909,batt,1
7536822431070,3406.909,batt,1
7536872414758,3406.909,batt,1
7536922401155,3224.816,batt,1
7536972386354,3224.816,batt,1
7537022452956,3224.816,batt,1
7537072377063,3224.816,batt,1
7537122412677,3224.816,batt,1
7537172446155,3855.561,batt,1
7537222438333,3855.561,batt,1
7537272422073,3855.561,batt,1
7537322403157,3855.561,batt,1
7537372431115,3855.561,batt,1
7537422462667,3294.239,batt,1
7537472461198,3294.239,batt,1
7537522411971,3294.239,batt,1
7537572443418,3294.239,batt,1
7537622422211,3294.239,batt,1
7537672405639,3497.533,batt,1
7537722399379,3497.533,batt,1
7537772369630,3497.533,batt,1
7537822449565,3497.533,batt,1
7537872418723,3497.533,batt,1
7537922388141,3644.268,batt,1
7537972436514,3644.268,batt,1
7538022424838,3644.268,batt,1
7538072433005,3644.268,batt,1
7538122389246,3644.268,batt,1
7538172420277,3280.035,batt,1
7538222400267,3280.035,batt,1
7538272392601,3280.035,batt,1
7538322433162,3280.035,batt,1
7538372406382,3280.035,batt,1
7538422442413,2959.908,batt,1
7538472365374,2959.908,batt,1
7538522443486,2959.908,batt,1
7538572403425,2959.908,batt,1
7538622469195,2959.908,batt,1
7538672428561,3346.060,batt,1
7538722405218,3346.060,batt,1
7538772422290,3346.060,batt,1
7538822516601,3346.060,batt,1
7538872410396,3346.060,batt,1
7538922357366,3488.606,batt,1
7538972401990,3488.606,batt,1
7539022461197,3488.606,batt,1
7539072436604,3488.606,batt,1
7539122378835,3488.606,batt,1
7539172425491,3124.843,batt,1
7539222468761,3124.843,batt,1
7539272403492,3124.843,batt,1
7539322475303,3124.843,batt,1
7539372464460,3124.843,batt,1
7539422384660,3831.219,batt,1
7539472420534,3831.219,batt,1
7539522403389,3831.219,batt,1
7539572424941,3831.219,batt,1
7539622432795,3831.219,batt,1
7539672414973,3515.056,batt,1
7539722443244,3515.056,batt,1
7539772353653,3515.056,batt,1
7539822432442,3515.056,batt,1
7539872415870,3515.056,batt,1
7539922474973,3438.832,batt,1
7539972439131,3438.832,batt,1
7540022377299,3438.832,batt,1
7540072380570,3438.832,batt,1
7540122397903,3438.832,batt,1
7540172351645,3392.016,batt,1
7540222461996,3392.016,batt,1
7540272435164,3392.016,batt,1
7540322347864,3392.016,batt,1
7540372415144,3392.016,batt,1
7540422375135,3708.319,batt,1
7540472390333,3708.319,batt,1
7540522453811,3708.319,batt,1
7540572389115,3708.319,batt,1
7540622462436,3708.319,batt,1
7540672447114,3867.297,batt,1
7540722379293,3867.297,batt,1
7540772446416,3867.297,batt,1
7540822432969,3867.297,batt,1
7540872407543,3867.297,batt,1
7540922410345,3497.699,batt,1
7540972538978,3497.699,batt,1
