t_mono_ns,power_mW,src,valid
7897508698538,1211.552,batt,1
7897558728892,1722.331,batt,1
7897608714768,1722.331,batt,1
7897658731059,1722.331,batt,1
7897708746986,1722.331,batt,1
7897758753382,1722.331,batt,1
7897808702540,1655.745,batt,1
7897858696645,1655.745,batt,1
7897908696009,1655.745,batt,1
7897958695999,1655.745,batt,1
7898009002595,1655.745,batt,1
7898058975346,1365.148,batt,1
7898108749197,1365.148,batt,1
7898158746322,1365.148,batt,1
7898208734698,1365.148,batt,1
7898258732708,1365.148,batt,1
7898308729365,1310.991,batt,1
7898358730292,1310.991,batt,1
7898408717939,1310.991,batt,1
7898458704752,1310.991,batt,1
7898508734220,1310.991,batt,1
7898558732075,951.288,batt,1
7898608728888,951.288,batt,1
7898658731273,951.288,batt,1
7898708680952,951.288,batt,1
7898758728180,951.288,batt,1
7898808729056,678.358,batt,1
7898858732535,678.358,batt,1
7898908725338,678.358,batt,1
7898958729025,678.358,batt,1
7899008744431,678.358,batt,1
7899058745567,590.411,batt,1
7899108724985,590.411,batt,1
7899158732214,590.411,batt,1
7899208725954,590.411,batt,1
7899258731777,590.411,batt,1
7899308745100,652.718,batt,1
7899358729778,652.718,batt,1
7899408758933,652.718,batt,1
7899458701685,652.718,batt,1
7899508762038,652.718,batt,1
7899558734268,705.392,batt,1
7899608728165,705.392,batt,1
7899658730759,705.392,batt,1
7899708727051,705.392,batt,1
7899758730270,705.392,batt,1
7899808724114,621.055,batt,1
7899858730249,621.055,batt,1
7899908734250,621.055,batt,1
7899958732885,621.055,batt,1
7900008730688,621.055,batt,1
7900058761510,601.482,batt,1
7900108759625,601.482,batt,1
7900158730501,601.482,batt,1
7900208760594,601.482,batt,1
7900258730898,601.482,batt,1
7900308731825,600.324,batt,1
7900358759574,600.324,batt,1
7900408728107,600.324,batt,1
7900458723670,600.324,batt,1
7900508730430,600.324,batt,1
7900558762086,1652.316,batt,1
7900608735827,1652.316,batt,1
7900658748212,1652.316,batt,1
7900708755233,1652.316,batt,1
7900758734442,1652.316,batt,1
7900808765994,2566.485,batt,1
7900858755411,2566.485,batt,1
7900908760244,2566.485,batt,1
7900958762786,2566.485,batt,1
7901008765537,2566.485,batt,1
7901058742663,2958.355,batt,1
7901108757287,2958.355,batt,1
7901158983104,2958.355,batt,1
7901208760600,2958.355,batt,1
7901258812203,2958.355,batt,1
7901308937294,5600.402,batt,1
7901358870879,5600.402,batt,1
7901408772643,5600.402,batt,1
7901459048563,5600.402,batt,1
7901508829652,5600.402,batt,1
7901558812143,6452.422,batt,1
7901608767655,6452.422,batt,1
7901658740041,6452.422,batt,1
7901708813362,6452.422,batt,1
7901758775593,6452.422,batt,1
7901808988962,6958.860,batt,1
7901858949266,6958.860,batt,1
7901908849571,6958.860,batt,1
7901958733366,6958.860,batt,1
7902008856530,6958.860,batt,1
7902058797875,6515.937,batt,1
7902108826302,6515.937,batt,1
7902158892540,6515.937,batt,1
7902208848260,6515.937,batt,1
7902258771013,6515.937,batt,1
7902308809960,5731.525,batt,1
7902358777086,5731.525,batt,1
7902408827491,5731.525,batt,1
7902458708995,5731.525,batt,1
7902508859137,4920.431,batt,1
7902558768660,4920.431,batt,1
7902608921042,4920.431,batt,1
7902658867804,4920.431,batt,1
7902708751391,4920.431,batt,1
7902758740287,5680.685,batt,1
7902808930168,5680.685,batt,1
7902858949011,5680.685,batt,1
7902908831921,5680.685,batt,1
7902958766548,5680.685,batt,1
7903008963043,5335.858,batt,1
7903058998761,5335.858,batt,1
7903108703916,5335.858,batt,1
7903158825621,5335.858,batt,1
7903208958628,5335.858,batt,1
7903258889036,6450.267,batt,1
7903308764707,6450.267,batt,1
7903358797769,6450.267,batt,1
7903408808175,6450.267,batt,1
7903458856445,6450.267,batt,1
7903508745656,5046.476,batt,1
7903558787937,5046.476,batt,1
7903608797770,5046.476,batt,1
7903659012181,5046.476,batt,1
7903708848269,5046.476,batt,1
7903758822270,4662.744,batt,1
7903808805073,4662.744,batt,1
7903858811521,4662.744,batt,1
7903908764950,4662.744,batt,1
7903958769002,4662.744,batt,1
7904008847584,5320.738,batt,1
7904058809293,5320.738,batt,1
7904108770691,5320.738,batt,1
7904159023329,5320.738,batt,1
7904208849783,5320.738,batt,1
7904258747588,5696.854,batt,1
7904308772577,5696.854,batt,1
7904358815691,5696.854,batt,1
7904408800473,5696.854,batt,1
7904458766297,5696.854,batt,1
7904508870451,5130.129,batt,1
7904558801797,5130.129,batt,1
7904608821682,5130.129,batt,1
7904658856618,5130.129,batt,1
7904708996709,5130.129,batt,1
7904758743893,4632.567,batt,1
7904808803152,4632.567,batt,1
7904858889233,4632.567,batt,1
7904908843964,4632.567,batt,1
7904958788174,4632.567,batt,1
7905008769988,5439.516,batt,1
7905058808466,5439.516,batt,1
7905108782571,5439.516,batt,1
7905158746937,5439.516,batt,1
7905208782395,5439.516,batt,1
7905258797488,5254.806,batt,1
7905308819353,5254.806,batt,1
7905358751011,5254.806,batt,1
7905408777875,5254.806,batt,1
7905458812812,5254.806,batt,1
7905508808062,4437.988,batt,1
7905558779980,4437.988,batt,1
7905608941893,4437.988,batt,1
7905658839854,4437.988,batt,1
7905708774481,4437.988,batt,1
7905758866083,4970.732,batt,1
7905808791492,4970.732,batt,1
7905858952988,4970.732,batt,1
7905908839179,4970.732,batt,1
7905958789951,4970.732,batt,1
7906008811295,4179.676,batt,1
