t_mono_ns,power_mW,src,valid
277625718362127,1500.181,batt,1
277625768359881,1500.181,batt,1
277625818362530,1500.181,batt,1
277625868362783,1500.181,batt,1
277625918364287,1500.181,batt,1
277625968362093,531.071,batt,1
277626018364534,531.071,batt,1
277626068362912,531.071,batt,1
277626118364520,531.071,batt,1
277626168363784,531.071,batt,1
277626218361225,2207.632,batt,1
277626268362156,2207.632,batt,1
277626318365222,2207.632,batt,1
277626368364642,2207.632,batt,1
277626418363854,2207.632,batt,1
277626468365149,2976.548,batt,1
277626518364205,2976.548,batt,1
277626568366698,2976.548,batt,1
277626618364347,2976.548,batt,1
277626668366580,2976.548,batt,1
277626718365115,2478.057,batt,1
277626768364639,2478.057,batt,1
277626818364320,2478.057,batt,1
277626868362490,2478.057,batt,1
277626918364046,2478.057,batt,1
277626968365133,826.930,batt,1
277627018363355,826.930,batt,1
277627068363973,826.930,batt,1
277627118361883,826.930,batt,1
277627168363179,826.930,batt,1
277627218364161,598.269,batt,1
277627268362436,598.269,batt,1
277627318363210,598.269,batt,1
277627368363828,598.269,batt,1
277627418363613,598.269,batt,1
277627468364127,481.062,batt,1
277627518362089,481.062,batt,1
277627568364009,481.062,batt,1
277627618362648,481.062,batt,1
277627668364777,481.062,batt,1
277627718362687,529.802,batt,1
277627768364555,529.802,batt,1
277627818362152,529.802,batt,1
277627868364281,529.802,batt,1
277627918364482,529.802,batt,1
277627968362965,482.256,batt,1
277628018364156,482.256,batt,1
277628068362795,482.256,batt,1
277628118363517,482.256,batt,1
277628168364083,482.256,batt,1
277628218362983,551.859,batt,1
277628268362559,551.859,batt,1
277628318361719,551.859,batt,1
277628368362129,551.859,batt,1
277628418364830,551.859,batt,1
277628468363678,494.435,batt,1
277628518364088,494.435,batt,1
277628568364133,494.435,batt,1
277628618363970,494.435,batt,1
277628668362869,494.435,batt,1
277628718364841,543.332,batt,1
277628768363272,543.332,batt,1
277628818363890,543.332,batt,1
277628868363363,543.332,batt,1
277628919606808,543.332,batt,1
277628968409806,1581.249,batt,1
277629018363342,1581.249,batt,1
277629068363335,1581.249,batt,1
277629118363693,1581.249,batt,1
277629168363374,1581.249,batt,1
277629218363315,2163.111,batt,1
277629268363725,2163.111,batt,1
277629318362832,2163.111,batt,1
277629368364180,2163.111,batt,1
277629418363965,2163.111,batt,1
277629468363906,2732.040,batt,1
277629518363222,2732.040,batt,1
277629568361288,2732.040,batt,1
277629618361229,2732.040,batt,1
277629668362628,2732.040,batt,1
277629718363611,4716.741,batt,1
277629768361156,4716.741,batt,1
