t_mono_ns,power_mW,src,valid
9489852099622,1616.191,batt,1
9489902090375,1616.191,batt,1
9489952066441,1616.191,batt,1
9490002120266,1649.306,batt,1
9490052115862,1649.306,batt,1
9490102134583,1649.306,batt,1
9490152138513,1649.306,batt,1
9490202099736,1649.306,batt,1
9490252089395,1943.327,batt,1
9490302101658,1943.327,batt,1
9490352108609,1943.327,batt,1
9490402043426,1943.327,batt,1
9490452080220,1943.327,batt,1
9490502075869,1356.458,batt,1
9490552090944,1356.458,batt,1
9490602404032,1356.458,batt,1
9490652072086,1356.458,batt,1
9490702088046,1356.458,batt,1
9490752073696,1283.736,batt,1
9490802069501,1283.736,batt,1
9490852098117,1283.736,batt,1
9490902090954,1283.736,batt,1
9490952079832,1283.736,batt,1
9491002101782,1260.343,batt,1
9491052080817,1260.343,batt,1
9491102075945,1260.343,batt,1
9491152353409,1260.343,batt,1
9491202525198,1260.343,batt,1
9491252620532,1202.711,batt,1
9491302071561,1202.711,batt,1
9491352075230,1202.711,batt,1
9491402075671,1202.711,batt,1
9491452076580,1202.711,batt,1
9491502069833,1294.916,batt,1
9491552073658,1294.916,batt,1
9491602078942,1294.916,batt,1
9491652874620,1294.916,batt,1
9491702065917,1294.916,batt,1
9491752716808,1291.253,batt,1
9491803040260,1291.253,batt,1
9491852115727,1291.253,batt,1
9491902053981,1291.253,batt,1
9491952100150,1291.253,batt,1
9492002349645,1018.664,batt,1
9492052081083,1018.664,batt,1
9492102090169,1018.664,batt,1
9492152094411,1018.664,batt,1
9492202075581,1018.664,batt,1
9492252077115,651.564,batt,1
9492302079118,651.564,batt,1
9492352110131,651.564,batt,1
9492402078124,651.564,batt,1
9492452077835,651.564,batt,1
9492502078588,607.541,batt,1
9492552087934,607.541,batt,1
9492602077438,607.541,batt,1
9492652073034,607.541,batt,1
9492702108995,607.541,batt,1
9492752101935,620.813,batt,1
9492802075553,620.813,batt,1
9492852074692,620.813,batt,1
9492902105340,620.813,batt,1
9492952075937,620.813,batt,1
9493002078357,685.866,batt,1
9493052108015,685.866,batt,1
9493102079029,685.866,batt,1
9493152100719,685.866,batt,1
9493202075118,685.866,batt,1
9493252073059,668.613,batt,1
9493302106519,668.613,batt,1
9493352075085,668.613,batt,1
9493402073494,668.613,batt,1
9493452253565,668.613,batt,1
9493502077188,643.009,batt,1
9493552079347,643.009,batt,1
9493602075620,643.009,batt,1
9493652079915,643.009,batt,1
9493702105823,643.009,batt,1
9493752074337,603.920,batt,1
9493802115610,603.920,batt,1
9493852080583,603.920,batt,1
9493902076856,603.920,batt,1
9493952082818,1527.657,batt,1
9494002091799,1527.657,batt,1
9494052233434,1527.657,batt,1
9494102084034,1527.657,batt,1
9494152087131,1527.657,batt,1
9494202079603,1661.864,batt,1
9494252077179,1661.864,batt,1
9494302092775,1661.864,batt,1
9494352086913,1661.864,batt,1
9494402073760,1661.864,batt,1
9494452132741,2311.377,batt,1
9494502129327,2311.377,batt,1
9494552099560,2311.377,batt,1
9494602145937,2311.377,batt,1
9494652065650,2311.377,batt,1
9494702108693,2447.754,batt,1
9494752143404,2447.754,batt,1
9494802133636,2447.754,batt,1
9494852116785,2447.754,batt,1
9494902207431,2447.754,batt,1
9494952136936,6203.650,batt,1
9495002109148,6203.650,batt,1
9495052319947,6203.650,batt,1
9495102151174,6203.650,batt,1
9495152196977,6203.650,batt,1
9495202123305,6572.343,batt,1
9495252280824,6572.343,batt,1
9495302249651,6572.343,batt,1
9495352112179,6572.343,batt,1
9495402132619,6572.343,batt,1
9495452090456,7248.630,batt,1
9495502131468,7248.630,batt,1
9495552283415,7248.630,batt,1
9495602213857,7248.630,batt,1
9495652201225,7248.630,batt,1
9495702296871,5855.146,batt,1
9495752123410,5855.146,batt,1
9495802138277,5855.146,batt,1
9495852120332,5855.146,batt,1
9495902104419,5855.146,batt,1
9495952289490,5039.073,batt,1
9496002538464,5039.073,batt,1
9496052085064,5039.073,batt,1
9496102103160,5039.073,batt,1
9496152194639,5039.073,batt,1
9496202318201,6605.914,batt,1
9496252140313,6605.914,batt,1
9496302097734,6605.914,batt,1
9496352090362,6605.914,batt,1
