t_mono_ns,power_mW,src,valid
7644335609469,1668.226,batt,1
7644385631021,1668.226,batt,1
7644435619032,1668.226,batt,1
7644485667146,1668.226,batt,1
7644535648959,1668.226,batt,1
7644585702281,1545.232,batt,1
7644635604513,1545.232,batt,1
7644685604711,1545.232,batt,1
7644735599389,1545.232,batt,1
7644785595056,1545.232,batt,1
7644835725250,866.838,batt,1
7644885683887,866.838,batt,1
7644935662888,866.838,batt,1
7644985657357,866.838,batt,1
7645035629692,866.838,batt,1
7645085627130,1242.027,batt,1
7645136382098,1242.027,batt,1
7645185627995,1242.027,batt,1
7645235619027,1242.027,batt,1
7645285623808,1242.027,batt,1
7645335817230,1189.280,batt,1
7645385595820,1189.280,batt,1
7645435627996,1189.280,batt,1
7645485639809,1189.280,batt,1
7645535628341,1189.280,batt,1
7645585626352,595.369,batt,1
7645635639622,595.369,batt,1
7645685641852,595.369,batt,1
7645735632467,595.369,batt,1
7645785663550,595.369,batt,1
7645835624843,628.361,batt,1
7645885626968,628.361,batt,1
7645935625864,628.361,batt,1
7645985642051,628.361,batt,1
7646035641937,628.361,batt,1
7646085666041,613.659,batt,1
7646135637125,613.659,batt,1
7646185641178,613.659,batt,1
7646235641480,613.659,batt,1
7646285624804,613.659,batt,1
7646335628648,690.605,batt,1
7646385634054,690.605,batt,1
7646435642169,690.605,batt,1
7646485664502,690.605,batt,1
7646535649440,690.605,batt,1
7646585631305,651.596,batt,1
7646635625097,651.596,batt,1
7646685627171,651.596,batt,1
7646735627942,651.596,batt,1
7646785626942,651.596,batt,1
7646835629536,619.747,batt,1
7646885628953,619.747,batt,1
7646935625870,619.747,batt,1
7646985629349,619.747,batt,1
7647035630850,619.747,batt,1
7647085675265,669.899,batt,1
7647135623903,669.899,batt,1
7647185656912,669.899,batt,1
7647235629872,669.899,batt,1
7647285657257,669.899,batt,1
7647335648393,707.862,batt,1
7647385682704,707.862,batt,1
7647435789879,707.862,batt,1
7647485626957,707.862,batt,1
7647535656008,707.862,batt,1
7647585662352,2019.201,batt,1
7647635659269,2019.201,batt,1
7647685693321,2019.201,batt,1
7647735659978,2019.201,batt,1
7647785658822,2019.201,batt,1
7647835688342,2832.272,batt,1
7647885629740,2832.272,batt,1
7647935634313,2832.272,batt,1
7647985677583,2832.272,batt,1
7648035698093,2832.272,batt,1
7648085685688,4956.145,batt,1
7648135925306,4956.145,batt,1
7648185775509,4956.145,batt,1
7648235713469,4956.145,batt,1
7648285679970,4956.145,batt,1
7648335729282,5574.618,batt,1
7648385673440,5574.618,batt,1
7648435655410,5574.618,batt,1
7648485940183,5574.618,batt,1
7648535759865,5574.618,batt,1
7648585693920,6234.180,batt,1
7648635692868,6234.180,batt,1
7648685745877,6234.180,batt,1
7648735651599,6234.180,batt,1
7648785659453,6234.180,batt,1
7648835892509,6735.695,batt,1
7648885783127,6735.695,batt,1
7648935652079,6735.695,batt,1
7648985713213,6735.695,batt,1
7649035761431,5476.120,batt,1
7649085799389,5476.120,batt,1
7649135672663,5476.120,batt,1
7649185749630,5476.120,batt,1
7649235722798,5476.120,batt,1
7649285715444,6965.815,batt,1
7649335740433,6965.815,batt,1
7649385673915,6965.815,batt,1
7649435716612,6965.815,batt,1
7649485805557,6965.815,batt,1
7649535639510,6282.267,batt,1
7649585705957,6282.267,batt,1
7649635681104,6282.267,batt,1
7649685644376,6282.267,batt,1
7649735703478,6282.267,batt,1
7649785670761,5861.949,batt,1
7649835662522,5861.949,batt,1
7649885837246,5861.949,batt,1
7649935815414,5861.949,batt,1
7649985663898,5861.949,batt,1
7650035692793,6086.448,batt,1
7650085840331,6086.448,batt,1
7650135936203,6086.448,batt,1
7650185641879,6086.448,batt,1
7650235716137,6086.448,batt,1
7650285856592,5403.776,batt,1
7650335750908,5403.776,batt,1
7650385707878,5403.776,batt,1
7650435692608,5403.776,batt,1
7650485921133,5403.776,batt,1
7650535734670,6180.223,batt,1
7650585728722,6180.223,batt,1
7650635669495,6180.223,batt,1
7650685730265,6180.223,batt,1
7650735672496,6180.223,batt,1
7650785608477,5968.858,batt,1
7650835898146,5968.858,batt,1
7650885692309,5968.858,batt,1
7650935723964,5968.858,batt,1
7650985720361,5968.858,batt,1
7651035669571,5033.752,batt,1
7651085745235,5033.752,batt,1
7651135682675,5033.752,batt,1
7651185930158,5033.752,batt,1
7651235703800,5033.752,batt,1
7651285708061,4758.537,batt,1
7651335768674,4758.537,batt,1
7651385726894,4758.537,batt,1
7651435676364,4758.537,batt,1
7651485683177,4758.537,batt,1
7651535690146,4566.892,batt,1
7651585673470,4566.892,batt,1
7651635833976,4566.892,batt,1
7651686001930,4566.892,batt,1
7651735677241,4566.892,batt,1
7651785762541,5466.957,batt,1
7651835702845,5466.957,batt,1
7651885589818,5466.957,batt,1
7651935678555,5466.957,batt,1
7651985652816,5466.957,batt,1
7652035697649,5007.417,batt,1
7652085912216,5007.417,batt,1
7652135723774,5007.417,batt,1
7652185700379,5007.417,batt,1
7652235657870,5007.417,batt,1
7652285698119,3703.376,batt,1
7652335694359,3703.376,batt,1
7652385799710,3703.376,batt,1
7652435818189,3703.376,batt,1
7652485656465,3703.376,batt,1
7652535709891,5224.447,batt,1
7652585692538,5224.447,batt,1
7652635629040,5224.447,batt,1
7652685686320,5224.447,batt,1
7652735648081,5224.447,batt,1
7652785702341,5330.617,batt,1
7652835920606,5330.617,batt,1
7652885716851,5330.617,batt,1
7652935666113,5330.617,batt,1
7652985686311,5330.617,batt,1
7653035676145,4872.082,batt,1
7653085947533,4872.082,batt,1
7653135769403,4872.082,batt,1
7653185700124,4872.082,batt,1
7653235757873,4872.082,batt,1
7653285706614,5530.873,batt,1
7653335716760,5530.873,batt,1
7653385644669,5530.873,batt,1
7653435643461,5530.873,batt,1
7653485703241,5530.873,batt,1
7653535853799,5921.946,batt,1
7653585770719,5921.946,batt,1
7653635657951,5921.946,batt,1
7653685652368,5921.946,batt,1
7653735861206,5921.946,batt,1
7653785702763,4418.297,batt,1
7653835740617,4418.297,batt,1
7653885795709,4418.297,batt,1
7653935652526,4418.297,batt,1
7653985706785,4418.297,batt,1
7654035864948,4085.494,batt,1
7654085662756,4085.494,batt,1
7654135704515,4085.494,batt,1
7654185695964,4085.494,batt,1
7654235723974,4085.494,batt,1
7654285651882,3901.812,batt,1
