t_mono_ns,power_mW,src,valid
8479121468548,754.233,batt,1
8479171485915,1670.754,batt,1
8479221476720,1670.754,batt,1
8479271495285,1670.754,batt,1
8479321524839,1670.754,batt,1
8479371532259,1670.754,batt,1
8479421459264,1802.508,batt,1
8479471458298,1802.508,batt,1
8479521453374,1802.508,batt,1
8479571452929,1802.508,batt,1
8479621553314,1802.508,batt,1
8479671512349,1234.575,batt,1
8479721520863,1234.575,batt,1
8479771500887,1234.575,batt,1
8479821493827,1234.575,batt,1
8479871497913,1234.575,batt,1
8479921490750,1229.813,batt,1
8479971490409,1229.813,batt,1
8480021476944,1229.813,batt,1
8480071481967,1229.813,batt,1
8480121489334,1229.813,batt,1
8480171489723,944.017,batt,1
8480221502767,944.017,batt,1
8480271503051,944.017,batt,1
8480321487763,944.017,batt,1
8480371491015,944.017,batt,1
8480421488175,612.442,batt,1
8480471487573,612.442,batt,1
8480521486555,612.442,batt,1
8480571493558,612.442,batt,1
8480621500457,612.442,batt,1
8480671503397,573.339,batt,1
8480721481078,573.339,batt,1
8480771487976,573.339,batt,1
8480821490344,573.339,batt,1
8480871487503,573.339,batt,1
8480921488985,622.150,batt,1
8480971504893,622.150,batt,1
8481021485439,622.150,batt,1
8481071491191,622.150,batt,1
8481121517985,622.150,batt,1
8481171487905,652.750,batt,1
8481221523970,652.750,batt,1
8481271487692,652.750,batt,1
8481321501882,652.750,batt,1
8481371484042,652.750,batt,1
8481421486201,586.843,batt,1
8481471485808,586.843,batt,1
8481521525154,586.843,batt,1
8481571489554,586.843,batt,1
8481621524941,586.843,batt,1
8481671491320,581.834,batt,1
8481721518738,581.834,batt,1
8481771488242,581.834,batt,1
8481821487537,581.834,batt,1
8481871490685,581.834,batt,1
8481921525291,598.990,batt,1
8481971518597,598.990,batt,1
8482021465289,598.990,batt,1
8482071491509,598.990,batt,1
8482121501793,1559.838,batt,1
8482171524108,1559.838,batt,1
8482221484237,1559.838,batt,1
8482271484625,1559.838,batt,1
8482321486784,1559.838,batt,1
8482371489048,1662.684,batt,1
8482421492352,1662.684,batt,1
8482471510344,1662.684,batt,1
8482521517608,1662.684,batt,1
8482571488465,1662.684,batt,1
8482621507916,2289.186,batt,1
8482671542678,2289.186,batt,1
8482721511088,2289.186,batt,1
8482771538923,2289.186,batt,1
8482821520823,2289.186,batt,1
8482871514649,2362.825,batt,1
8482921541182,2362.825,batt,1
8482971640005,2362.825,batt,1
8483021551333,2362.825,batt,1
8483071688645,2362.825,batt,1
8483121688512,6124.973,batt,1
8483171514739,6124.973,batt,1
8483221703091,6124.973,batt,1
8483271827642,6124.973,batt,1
8483321513195,6124.973,batt,1
8483371541552,6909.110,batt,1
8483421627667,6909.110,batt,1
8483471630607,6909.110,batt,1
8483521522978,6909.110,batt,1
8483571767526,6909.110,batt,1
8483621804684,5848.978,batt,1
8483671554871,5848.978,batt,1
8483721541926,5848.978,batt,1
8483771643041,5848.978,batt,1
8483821657387,5848.978,batt,1
8483871511738,6203.874,batt,1
8483921533584,6203.874,batt,1
8483971511421,6203.874,batt,1
8484021533839,6203.874,batt,1
8484071510166,6203.874,batt,1
8484121528262,3038.358,batt,1
8484171526359,3038.358,batt,1
8484221668358,3038.358,batt,1
8484271562447,3038.358,batt,1
8484321602417,3038.358,batt,1
8484371553328,6121.972,batt,1
8484421511530,6121.972,batt,1
8484471565979,6121.972,batt,1
8484521629491,6121.972,batt,1
8484571537746,6121.972,batt,1
8484621675266,5978.039,batt,1
8484671590240,5978.039,batt,1
8484721545473,5978.039,batt,1
8484771600235,5978.039,batt,1
8484821450055,5978.039,batt,1
8484871506796,5988.853,batt,1
8484921550047,5988.853,batt,1
8484971544915,5988.853,batt,1
8485021662071,5988.853,batt,1
8485071513921,5988.853,batt,1
8485121534257,5580.574,batt,1
8485171502875,5580.574,batt,1
8485221762579,5580.574,batt,1
8485271644690,5580.574,batt,1
8485321598152,5580.574,batt,1
