=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3239201184 bytes (3089.14 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3239193728 bytes (3089.14 MB)
  Buffer list size: 7456 bytes
  Data section size: 3239193672 bytes (3089.14 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 142

Buffer Details:
  NOTE: This dump reflects the weight cache FILE layout (static) and the process mapping / runtime addresses (dynamic).
        Columns marked [STATIC] come from the on-disk FlatBuffer file;
        Columns marked [DYNAMIC] are process/runtime values (vary by execution).
  Note: 'Offset' is buffer->offset(), relative to BufferList.base_offset() [STATIC].
        'Memory Range' is [base_offset + offset, base_offset + offset + size - 1] (file byte offsets) [STATIC].
        'Mmapped Addr' is the process virtual address where the file was mapped: mmap_base_ptr + (base_offset + offset) [DYNAMIC].
  mmap base pointer: 0x78f5cae00000 (process virtual address base)
  Cache type: FILE-BACKED
Index  | Weight ID    | Pack Algo ID | Bias ID      | Offset     | Size       | Mmapped Addr [DYNAMIC] | Memory Range [DYNAMIC]
------------------------------------------------------------------------------------------------------------------------
0      | 198          | 6222         | None         | 0          | 15790080   | 0x78f5cae00080         | [128-15790207]
1      | 197          | 78           | None         | 15790080   | 9474048    | 0x78f5cbd0f080         | [15790208-25264255]
2      | 196          | 11342        | None         | 25264128   | 25264128   | 0x78f5cc618080         | [25264256-50528383]
3      | 195          | 11342        | None         | 50528256   | 25264128   | 0x78f5cde30080         | [50528384-75792511]
4      | 194          | 11342        | None         | 75792384   | 25202688   | 0x78f5cf648080         | [75792512-100995199]
5      | 193          | 6222         | None         | 100995072  | 15790080   | 0x78f5d0e51080         | [100995200-116785279]
6      | 192          | 78           | None         | 116785152  | 9474048    | 0x78f5d1d60080         | [116785280-126259327]
7      | 191          | 11342        | None         | 126259200  | 25264128   | 0x78f5d2669080         | [126259328-151523455]
8      | 190          | 11342        | None         | 151523328  | 25264128   | 0x78f5d3e81080         | [151523456-176787583]
9      | 189          | 11342        | None         | 176787456  | 25202688   | 0x78f5d5699080         | [176787584-201990271]
10     | 188          | 6222         | None         | 201990144  | 15790080   | 0x78f5d6ea2080         | [201990272-217780351]
11     | 187          | 78           | None         | 217780224  | 9474048    | 0x78f5d7db1080         | [217780352-227254399]
12     | 186          | 11342        | None         | 227254272  | 25264128   | 0x78f5d86ba080         | [227254400-252518527]
13     | 185          | 11342        | None         | 252518400  | 25264128   | 0x78f5d9ed2080         | [252518528-277782655]
14     | 184          | 11342        | None         | 277782528  | 25202688   | 0x78f5db6ea080         | [277782656-302985343]
15     | 183          | 6222         | None         | 302985216  | 15790080   | 0x78f5dcef3080         | [302985344-318775423]
16     | 182          | 78           | None         | 318775296  | 9474048    | 0x78f5dde02080         | [318775424-328249471]
