Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[723] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[724] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[725] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[726] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[727] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[728] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[729] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[730] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[731] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[732] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[733] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[734] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[735] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[736] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[737] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[738] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[739] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[740] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[741] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[742] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[743] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[744] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[745] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[746] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[747] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[748] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[749] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[750] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[751] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[752] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[753] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[754] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[755] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[756] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[757] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[758] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[759] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[760] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[761] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[762] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[763] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[764] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[765] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[766] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[767] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[768] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[769] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[770] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[771] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[772] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[773] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[774] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[775] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[776] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[777] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[778] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[779] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[780] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 7 (ms)
[781] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[782] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[783] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[784] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[785] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 6 (ms)
[786] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[787] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[788] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[789] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[790] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[791] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[792] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[793] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[794] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[795] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[796] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[797] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[798] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[799] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[800] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[801] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[802] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[803] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[804] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[805] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[806] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[807] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[808] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[809] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[810] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[811] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[812] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[813] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[814] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[815] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[816] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[817] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[818] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[819] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[820] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[821] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[822] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[823] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[824] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[825] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[826] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[827] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[828] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[829] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[830] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[831] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[832] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[833] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[834] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[835] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[836] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[837] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[838] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[839] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[840] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[841] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[842] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[843] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[844] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[845] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[846] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[847] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[848] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[849] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[850] Operator Multiply (ND)[25,0]: Elapsed 2 (ms)
[851] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 4 (ms)
[852] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[853] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[854] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 6 (ms)
[855] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[856] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 6 (ms)
[857] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[858] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[859] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[860] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[861] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[862] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[863] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[864] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[865] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[866] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 4 (ms)
[867] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[868] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[869] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[870] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[871] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[872] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[873] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[874] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[875] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[876] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[877] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[878] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[879] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[880] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[881] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[882] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[883] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[884] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[885] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[886] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[887] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[888] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[889] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[890] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[891] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[892] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[893] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[894] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[895] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[896] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[897] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[898] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[899] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[900] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[901] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[902] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[903] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[904] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[905] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[906] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[907] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[908] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[909] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[910] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[911] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[912] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[913] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[914] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[915] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[916] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[917] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[918] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[919] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[920] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[921] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[922] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[923] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[924] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[925] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[926] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[927] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[928] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[929] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[930] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[931] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[932] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[933] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[934] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[935] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[936] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[937] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[938] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[939] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[940] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[941] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[942] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[943] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[944] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[945] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[946] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[947] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[948] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[949] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[950] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[951] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[952] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[953] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[954] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[955] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[956] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[957] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[958] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[959] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[960] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[961] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[962] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[963] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[964] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[965] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[966] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[967] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[968] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[969] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[970] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[971] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[972] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[973] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[974] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[975] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[976] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[977] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[978] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[979] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[980] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[981] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[982] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[983] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[984] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[985] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[986] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[987] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[988] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[989] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[990] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[991] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[992] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[993] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[994] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[995] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[996] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[997] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[998] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 4 (ms)
[999] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1000] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1001] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1002] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1003] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1004] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1005] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1006] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1007] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1008] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1009] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1010] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1011] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1012] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1013] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1014] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1015] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1016] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1017] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1018] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1019] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1020] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1021] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1022] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1023] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1024] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1025] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1026] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1027] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1028] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1029] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1030] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1031] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1032] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1033] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1034] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1035] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1036] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1037] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1038] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1039] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1040] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1041] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1042] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1043] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1044] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1045] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1046] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1047] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1048] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1049] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1050] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1051] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1052] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1053] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1054] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1055] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1056] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1057] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1058] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1059] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1060] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1061] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1062] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1063] Operator Multiply (ND)[25,0]: Elapsed 2 (ms)
[1064] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 4 (ms)
[1065] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1066] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1067] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[1068] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1069] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 6 (ms)
[1070] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1071] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1072] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1073] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1074] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1075] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1076] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1077] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1078] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1079] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[1080] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1081] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1082] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1083] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1084] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1085] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1086] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1087] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1088] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1089] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1090] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1091] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1092] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1093] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1094] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1095] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1096] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1097] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1098] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1099] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1100] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1101] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1102] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1103] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1104] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1105] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1106] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1107] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1108] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1109] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1110] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1111] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1112] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1113] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
