Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
Reciprocal Square Root (NC)[11,0]                       1       0.002       0.002       0.002         0.002
Reciprocal Square Root (NC)[22,0]                      28       0.001       0.001       0.002         0.038
Reciprocal Square Root (NC)[23,0]                      27       0.001       0.001       0.002         0.038
Reciprocal Square Root (NC)[36,0]                      28       0.002       0.001       0.004         0.044
Reciprocal Square Root (NC)[38,0]                      27       0.002       0.001       0.002         0.041
Sigmoid (NC)[26,0]                                     28       0.059       0.006       0.192         1.649
Sigmoid (NC)[27,0]                                     27       0.125       0.037       0.339         3.377
Sine (NC)[4,0]                                          2       0.002       0.001       0.003         0.004
Slice (ND, X32)[14,0]                                   1       0.126       0.126       0.126         0.126
Slice (ND, X32)[15,0]                                   1       0.167       0.167       0.167         0.167
Slice (ND, X32)[16,0]                                   2       0.089       0.006       0.172         0.178
Slice (ND, X32)[17,0]                                   1       0.003       0.003       0.003         0.003
Slice (ND, X32)[18,0]                                   2       0.070       0.003       0.136         0.139
Slice (ND, X32)[19,0]                                   1       0.116       0.116       0.116         0.116
Slice (ND, X32)[21,0]                                   1       0.005       0.005       0.005         0.005
Slice (ND, X32)[22,0]                                   1       0.004       0.004       0.004         0.004
Slice (ND, X32)[29,0]                                   1       0.003       0.003       0.003         0.003
Slice (ND, X32)[30,0]                                   1       0.002       0.002       0.002         0.002
Slice (ND, X32)[32,0]                                   1       0.004       0.004       0.004         0.004
Slice (ND, X32)[33,0]                                   1       0.003       0.003       0.003         0.003
Slice (ND, X32)[41,0]                                  27       0.013       0.003       0.178         0.343
Slice (ND, X32)[42,0]                                  27       0.014       0.002       0.239         0.365
Slice (ND, X32)[43,0]                                  54       0.020       0.002       0.223         1.060
Slice (ND, X32)[44,0]                                  27       0.015       0.003       0.202         0.408
Slice (ND, X32)[45,0]                                  53       0.005       0.003       0.051         0.286
Slice (ND, X32)[46,0]                                  28       0.004       0.002       0.025         0.098
Slice (ND, X32)[47,0]                                   1       0.004       0.004       0.004         0.004
Slice (ND, X32)[48,0]                                  26       0.006       0.005       0.008         0.145
Slice (ND, X32)[49,0]                                  26       0.004       0.003       0.008         0.107
Slice (ND, X32)[56,0]                                  27       0.012       0.002       0.251         0.321
Slice (ND, X32)[57,0]                                  27       0.010       0.002       0.206         0.266
Slice (ND, X32)[59,0]                                  26       0.006       0.004       0.025         0.146
Slice (ND, X32)[60,0]                                  26       0.003       0.003       0.013         0.088
Softmax (NC, F32)[8,0]                                 55       0.021       0.005       0.232         1.150
Static Reshape (NC)[0,0]                                2       0.399       0.319       0.479         0.798
Static Reshape (NC)[1,0]                                2       0.002       0.002       0.002         0.005
Static Reshape (NC)[3,0]                               55       0.001       0.001       0.002         0.070
Static Reshape (NC)[4,0]                               55       0.001       0.001       0.001         0.049
Static Reshape (NC)[5,0]                                1       0.053       0.053       0.053         0.053
Static Reshape (NC)[6,0]                               55       0.001       0.001       0.004         0.072
Static Reshape (NC)[10,0]                              56       0.001       0.001       0.002         0.071
Static Reshape (NC)[11,0]                              55       0.001       0.001       0.001         0.052
Static Reshape (NC)[13,0]                              56       0.002       0.001       0.056         0.127
Static Reshape (NC)[15,0]                              56       0.001       0.001       0.011         0.065
Static Reshape (NC)[17,0]                               1       0.131       0.131       0.131         0.131
Static Reshape (NC)[19,0]                               1       0.001       0.001       0.001         0.001
Static Reshape (NC)[22,0]                              27       0.001       0.001       0.001         0.024
Static Reshape (NC)[27,0]                               1       0.002       0.002       0.002         0.002
Static Reshape (NC)[28,0]                               1       0.002       0.002       0.002         0.002
Static Reshape (NC)[37,0]                              27       0.001       0.001       0.001         0.026
