
===== Ops Report (start–stop) =====

-- Summary by Ops --
Ops                                                 Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
PREFILL[0,3223403520]                                  25      42.543      40.614      45.992      1063.563
PREFILL[1,15790080]                                    25       9.502       9.102      10.669       237.542
PREFILL[2,25264128]                                    25      23.889      23.101      25.547       597.228
PREFILL[3,50528256]                                    25      23.552      22.746      24.674       588.790
PREFILL[4,75792384]                                    25      24.103      22.810      32.083       602.587
PREFILL[5,100995072]                                   25      41.877      40.380      43.904      1046.933
PREFILL[6,116785152]                                   25       9.431       9.122       9.950       235.771
PREFILL[7,126259200]                                   25      24.065      23.186      25.910       601.636
PREFILL[8,151523328]                                   25      23.666      22.950      25.537       591.659
PREFILL[9,176787456]                                   25      23.830      22.950      25.407       595.756
PREFILL[10,201990144]                                  25      41.740      40.285      45.069      1043.511
PREFILL[11,217780224]                                  25       9.435       9.086      10.337       235.875
PREFILL[12,227254272]                                  25      23.852      23.186      24.928       596.293
PREFILL[13,252518400]                                  25      23.567      22.811      24.444       589.176
PREFILL[14,277782528]                                  25      23.786      22.913      25.318       594.644
PREFILL[15,302985216]                                  25      41.663      40.457      44.310      1041.584
PREFILL[16,318775296]                                  25       9.488       9.105      10.179       237.198
PREFILL[17,328249344]                                  25      23.911      23.051      24.868       597.768
PREFILL[18,353513472]                                  25      23.637      22.826      26.071       590.920
PREFILL[19,378777600]                                  25      23.847      22.912      25.229       596.176
PREFILL[20,403980288]                                  25      41.678      40.522      43.383      1041.953
PREFILL[21,419770368]                                  25       9.449       8.986      10.099       236.230
PREFILL[22,429244416]                                  25      23.884      23.165      24.735       597.109
PREFILL[23,454508544]                                  25      23.584      22.637      24.306       589.608
PREFILL[24,479772672]                                  25      23.803      23.015      26.513       595.068
PREFILL[25,504975360]                                  25      41.439      40.226      44.341      1035.982
PREFILL[26,520765440]                                  25       9.365       9.128       9.817       234.135
PREFILL[27,530239488]                                  25      23.789      22.991      25.492       594.720
PREFILL[28,555503616]                                  25      23.569      22.685      25.585       589.224
PREFILL[29,580767744]                                  25      24.016      23.003      28.582       600.400
PREFILL[30,605970432]                                  25      41.648      40.016      44.835      1041.191
PREFILL[31,621760512]                                  25       9.492       9.059      12.364       237.312
PREFILL[32,631234560]                                  25      23.929      23.027      27.375       598.225
PREFILL[33,656498688]                                  25      23.511      22.843      25.119       587.787
PREFILL[34,681762816]                                  25      23.671      23.002      25.264       591.774
PREFILL[35,706965504]                                  25      41.629      40.017      45.387      1040.720
PREFILL[36,722755584]                                  25       9.334       9.073       9.768       233.341
PREFILL[37,732229632]                                  25      23.733      22.912      25.215       593.327
PREFILL[38,757493760]                                  25      23.567      22.795      24.374       589.179
PREFILL[39,782757888]                                  25      23.749      22.802      26.105       593.722
PREFILL[40,807960576]                                  25      41.453      40.098      44.632      1036.337
PREFILL[41,823750656]                                  25       9.404       9.057      10.309       235.097
PREFILL[42,833224704]                                  25      23.967      23.134      26.760       599.164
PREFILL[43,858488832]                                  25      23.663      22.681      25.441       591.564
PREFILL[44,883752960]                                  25      23.962      22.794      27.328       599.044
PREFILL[45,908955648]                                  25      42.045      39.931      57.837      1051.117
PREFILL[46,924745728]                                  25       9.668       9.047      12.386       241.693
PREFILL[47,934219776]                                  25      24.704      23.205      35.207       617.595
PREFILL[48,959483904]                                  25      24.069      23.084      30.902       601.731
PREFILL[49,984748032]                                  25      24.249      22.958      30.404       606.227
PREFILL[50,1009950720]                                 25      41.653      40.264      44.018      1041.331
PREFILL[51,1025740800]                                 25       9.366       9.031      10.338       234.148
PREFILL[52,1035214848]                                 25      23.701      22.944      25.334       592.536
PREFILL[53,1060478976]                                 25      23.470      22.709      24.839       586.758
PREFILL[54,1085743104]                                 25      23.692      22.987      25.003       592.291
PREFILL[55,1110945792]                                 25      41.575      40.204      44.848      1039.386
PREFILL[56,1126735872]                                 25       9.519       9.044      11.232       237.973
PREFILL[57,1136209920]                                 25      23.844      23.084      24.589       596.112
PREFILL[58,1161474048]                                 25      23.597      22.835      24.730       589.922
PREFILL[59,1186738176]                                 25      23.709      22.896      24.944       592.729
PREFILL[60,1211940864]                                 25      41.429      40.227      46.327      1035.734
PREFILL[61,1227730944]                                 25       9.416       9.031      10.192       235.407
PREFILL[62,1237204992]                                 25      23.984      23.060      28.501       599.588
PREFILL[63,1262469120]                                 25      23.618      22.854      27.373       590.450
PREFILL[64,1287733248]                                 25      23.511      22.994      24.363       587.764
PREFILL[65,1312935936]                                 25      41.561      40.244      44.470      1039.029
PREFILL[66,1328726016]                                 25       9.477       9.092      10.453       236.927
PREFILL[67,1338200064]                                 25      23.993      23.176      29.323       599.819
PREFILL[68,1363464192]                                 25      23.940      22.718      30.700       598.488
PREFILL[69,1388728320]                                 25      24.415      22.881      33.551       610.372
PREFILL[70,1413931008]                                 25      41.576      39.891      49.025      1039.402
PREFILL[71,1429721088]                                 25       9.425       8.976       9.955       235.619
PREFILL[72,1439195136]                                 25      24.079      23.182      25.563       601.980
PREFILL[73,1464459264]                                 25      23.630      22.686      24.910       590.740
PREFILL[74,1489723392]                                 25      23.978      22.771      24.881       599.451
PREFILL[75,1514926080]                                 25      41.657      40.006      45.123      1041.420
PREFILL[76,1530716160]                                 25       9.411       9.106      10.181       235.278
PREFILL[77,1540190208]                                 25      23.731      23.093      24.920       593.283
PREFILL[78,1565454336]                                 25      23.567      22.874      26.746       589.183
PREFILL[79,1590718464]                                 25      23.841      23.098      25.231       596.026
PREFILL[80,1615921152]                                 25      41.314      40.151      42.593      1032.849
PREFILL[81,1631711232]                                 25       9.404       9.021      10.836       235.111
PREFILL[82,1641185280]                                 25      23.969      23.108      25.090       599.224
PREFILL[83,1666449408]                                 25      23.461      22.753      24.479       586.526
PREFILL[84,1691713536]                                 25      23.689      23.000      25.417       592.229
PREFILL[85,1716916224]                                 25      41.626      40.188      45.871      1040.650
PREFILL[86,1732706304]                                 25       9.476       9.041      11.099       236.901
PREFILL[87,1742180352]                                 25      23.880      23.162      25.595       596.994
PREFILL[88,1767444480]                                 25      23.600      22.854      25.901       590.006
PREFILL[89,1792708608]                                 25      23.923      23.017      27.827       598.080
PREFILL[90,1817911296]                                 25      41.709      40.155      44.890      1042.728
PREFILL[91,1833701376]                                 25       9.425       9.066      10.121       235.637
PREFILL[92,1843175424]                                 25      23.787      23.145      25.125       594.669
PREFILL[93,1868439552]                                 25      23.563      22.918      24.854       589.081
PREFILL[94,1893703680]                                 25      23.662      22.808      26.082       591.562
PREFILL[95,1918906368]                                 25      41.529      39.932      43.724      1038.217
PREFILL[96,1934696448]                                 25       9.390       8.971      10.079       234.749
PREFILL[97,1944170496]                                 25      23.850      23.185      25.031       596.261
PREFILL[98,1969434624]                                 25      23.501      22.534      24.360       587.519
PREFILL[99,1994698752]                                 25      23.643      22.969      26.163       591.072
PREFILL[100,2019901440]                                25      41.501      39.803      43.680      1037.533
PREFILL[101,2035691520]                                25       9.394       9.107       9.846       234.843
PREFILL[102,2045165568]                                25      23.871      23.076      25.091       596.763
PREFILL[103,2070429696]                                25      23.787      22.794      28.479       594.683
PREFILL[104,2095693824]                                25      23.644      23.063      24.636       591.100
PREFILL[105,2120896512]                                25      41.950      39.630      55.090      1048.744
PREFILL[106,2136686592]                                25       9.715       9.158      13.845       242.883
PREFILL[107,2146160640]                                25      24.301      23.154      30.842       607.517
PREFILL[108,2171424768]                                25      23.676      22.816      28.208       591.898
PREFILL[109,2196688896]                                25      24.047      22.901      31.324       601.171
PREFILL[110,2221891584]                                25      41.396      39.926      43.846      1034.894
PREFILL[111,2237681664]                                25       9.440       9.031      10.166       236.005
PREFILL[112,2247155712]                                25      23.841      23.136      24.982       596.017
PREFILL[113,2272419840]                                25      23.515      22.807      25.027       587.877
PREFILL[114,2297683968]                                25      23.642      22.873      24.508       591.048
PREFILL[115,2322886656]                                25      41.163      39.799      44.915      1029.073
PREFILL[116,2338676736]                                25       9.360       9.043      10.042       233.988
PREFILL[117,2348150784]                                25      23.732      23.206      25.005       593.289
PREFILL[118,2373414912]                                25      23.334      22.724      24.104       583.349
PREFILL[119,2398679040]                                25      23.524      22.895      24.471       588.100
PREFILL[120,2423881728]                                25      41.220      39.938      42.900      1030.508
PREFILL[121,2439671808]                                25       9.584       9.148      11.321       239.598
PREFILL[122,2449145856]                                25      23.814      22.934      25.163       595.340
PREFILL[123,2474409984]                                25      23.608      22.812      26.432       590.208
PREFILL[124,2499674112]                                25      23.832      23.137      27.622       595.796
PREFILL[125,2524876800]                                25      42.039      40.097      47.137      1050.982
PREFILL[126,2540666880]                                25       9.451       9.026      10.285       236.284
PREFILL[127,2550140928]                                25      23.783      22.761      26.014       594.583
PREFILL[128,2575405056]                                25      23.570      22.790      25.076       589.258
PREFILL[129,2600669184]                                25      23.760      22.821      24.948       593.995
PREFILL[130,2625871872]                                25      41.477      39.909      44.108      1036.932
PREFILL[131,2641661952]                                25       9.416       9.031      10.196       235.410
PREFILL[132,2651136000]                                25      24.068      23.160      26.362       601.689
PREFILL[133,2676400128]                                25      23.548      22.790      25.526       588.704
