=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3239201184 bytes (3089.14 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3239193728 bytes (3089.14 MB)
  Buffer list size: 7456 bytes
  Data section size: 3239193672 bytes (3089.14 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 142

Buffer Details:
  NOTE: This dump reflects the weight cache FILE layout (static) and the process mapping / runtime addresses (dynamic).
        Columns marked [STATIC] come from the on-disk FlatBuffer file;
        Columns marked [DYNAMIC] are process/runtime values (vary by execution).
  Note: 'Offset' is buffer->offset(), relative to BufferList.base_offset() [STATIC].
        'Memory Range' is [base_offset + offset, base_offset + offset + size - 1] (file byte offsets) [STATIC].
        'Mmapped Addr' is the process virtual address where the file was mapped: mmap_base_ptr + (base_offset + offset) [DYNAMIC].
  mmap base pointer: 0x7e9f64800000 (process virtual address base)
  Cache type: FILE-BACKED
Index  | Weight ID    | Pack Algo ID | Bias ID      | Offset     | Size       | Mmapped Addr [DYNAMIC] | Memory Range [DYNAMIC]
12     | 186          | 11342        | None         | 227254272  | 25264128   | 0x7e9f720ba080         | [227254400-252518527]
13     | 185          | 11342        | None         | 252518400  | 25264128   | 0x7e9f738d2080         | [252518528-277782655]
14     | 184          | 11342        | None         | 277782528  | 25202688   | 0x7e9f750ea080         | [277782656-302985343]
15     | 183          | 6222         | None         | 302985216  | 15790080   | 0x7e9f768f3080         | [302985344-318775423]
16     | 182          | 78           | None         | 318775296  | 9474048    | 0x7e9f77802080         | [318775424-328249471]
17     | 181          | 11342        | None         | 328249344  | 25264128   | 0x7e9f7810b080         | [328249472-353513599]
18     | 180          | 11342        | None         | 353513472  | 25264128   | 0x7e9f79923080         | [353513600-378777727]
19     | 179          | 11342        | None         | 378777600  | 25202688   | 0x7e9f7b13b080         | [378777728-403980415]
20     | 178          | 6222         | None         | 403980288  | 15790080   | 0x7e9f7c944080         | [403980416-419770495]
21     | 177          | 78           | None         | 419770368  | 9474048    | 0x7e9f7d853080         | [419770496-429244543]
22     | 176          | 11342        | None         | 429244416  | 25264128   | 0x7e9f7e15c080         | [429244544-454508671]
23     | 175          | 11342        | None         | 454508544  | 25264128   | 0x7e9f7f974080         | [454508672-479772799]
24     | 174          | 11342        | None         | 479772672  | 25202688   | 0x7e9f8118c080         | [479772800-504975487]
25     | 173          | 6222         | None         | 504975360  | 15790080   | 0x7e9f82995080         | [504975488-520765567]
26     | 172          | 78           | None         | 520765440  | 9474048    | 0x7e9f838a4080         | [520765568-530239615]
27     | 171          | 11342        | None         | 530239488  | 25264128   | 0x7e9f841ad080         | [530239616-555503743]
28     | 170          | 11342        | None         | 555503616  | 25264128   | 0x7e9f859c5080         | [555503744-580767871]
29     | 169          | 11342        | None         | 580767744  | 25202688   | 0x7e9f871dd080         | [580767872-605970559]
30     | 168          | 6222         | None         | 605970432  | 15790080   | 0x7e9f889e6080         | [605970560-621760639]
31     | 167          | 78           | None         | 621760512  | 9474048    | 0x7e9f898f5080         | [621760640-631234687]
32     | 166          | 11342        | None         | 631234560  | 25264128   | 0x7e9f8a1fe080         | [631234688-656498815]
