=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3223411056 bytes (3074.08 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3223403648 bytes (3074.08 MB)
  Buffer list size: 7408 bytes
  Data section size: 3223403592 bytes (3074.08 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 141

Buffer Details:
Index  | Pack Algo ID | Weights ID   | Bias ID      | Offset     | Size       | Absolute Addr    | Memory Range
56     | 78           | 142          | None         | 1126735872 | 9474048    | 0x7bb41648a080   | [1126736000-1136210047]
57     | 11342        | 141          | None         | 1136209920 | 25264128   | 0x7bb416d93080   | [1136210048-1161474175]
58     | 11342        | 140          | None         | 1161474048 | 25264128   | 0x7bb4185ab080   | [1161474176-1186738303]
59     | 11342        | 139          | None         | 1186738176 | 25202688   | 0x7bb419dc3080   | [1186738304-1211940991]
60     | 6222         | 138          | None         | 1211940864 | 15790080   | 0x7bb41b5cc080   | [1211940992-1227731071]
61     | 78           | 137          | None         | 1227730944 | 9474048    | 0x7bb41c4db080   | [1227731072-1237205119]
62     | 11342        | 136          | None         | 1237204992 | 25264128   | 0x7bb41cde4080   | [1237205120-1262469247]
63     | 11342        | 135          | None         | 1262469120 | 25264128   | 0x7bb41e5fc080   | [1262469248-1287733375]
64     | 11342        | 134          | None         | 1287733248 | 25202688   | 0x7bb41fe14080   | [1287733376-1312936063]
65     | 6222         | 133          | None         | 1312935936 | 15790080   | 0x7bb42161d080   | [1312936064-1328726143]
66     | 78           | 132          | None         | 1328726016 | 9474048    | 0x7bb42252c080   | [1328726144-1338200191]
67     | 11342        | 131          | None         | 1338200064 | 25264128   | 0x7bb422e35080   | [1338200192-1363464319]
68     | 11342        | 130          | None         | 1363464192 | 25264128   | 0x7bb42464d080   | [1363464320-1388728447]
